,Si_Al_ratio,config_rules,method,titrate_count_rules,c6ring_mean,c6ring_std,c3NN_8ring_mean,c3NN_8ring_std,c4NN_8ring_mean,c4NN_8ring_std,titration_order
0,3,no1NN,titrate,,0.3418442622950819,0.011933128532401483,,,,,c6ring
1,5,no1NN,titrate,,0.24239877300613494,0.019466209331357873,,,,,c6ring
2,7,no1NN,titrate,,0.18270731707317076,0.025036520354159566,,,,,c6ring
3,10,no1NN,titrate,,0.13420224719101123,0.027593053362475327,,,,,c6ring
4,15,no1NN,titrate,,0.08927419354838707,0.029647491045384604,,,,,c6ring
5,20,no1NN,titrate,,0.07059574468085106,0.033172908055849534,,,,,c6ring
6,25,no1NN,titrate,,0.05405263157894737,0.03458383366902139,,,,,c6ring
7,30,no1NN,titrate,,0.04721875,0.03459981879920038,,,,,c6ring
8,35,no1NN,titrate,,0.036857142857142845,0.034087522404443966,,,,,c6ring
9,40,no1NN,titrate,,0.03164,0.03262683558054627,,,,,c6ring
10,3,no1NN,titrate,exclude 3Al in 6ring,0.2900532786885246,0.021797527514015615,,,,,c6ring
11,5,no1NN,titrate,exclude 3Al in 6ring,0.22841717791411043,0.022345252830565078,,,,,c6ring
12,7,no1NN,titrate,exclude 3Al in 6ring,0.17616260162601624,0.024481909049579403,,,,,c6ring
13,10,no1NN,titrate,exclude 3Al in 6ring,0.13058426966292136,0.02778966755877795,,,,,c6ring
14,15,no1NN,titrate,exclude 3Al in 6ring,0.0882741935483871,0.03188196476723721,,,,,c6ring
15,20,no1NN,titrate,exclude 3Al in 6ring,0.06993617021276595,0.032439873692120105,,,,,c6ring
16,25,no1NN,titrate,exclude 3Al in 6ring,0.05363157894736842,0.03281100923272257,,,,,c6ring
17,30,no1NN,titrate,exclude 3Al in 6ring,0.046375,0.03417190000570644,,,,,c6ring
18,35,no1NN,titrate,exclude 3Al in 6ring,0.03778571428571429,0.03419325330278725,,,,,c6ring
19,40,no1NN,titrate,exclude 3Al in 6ring,0.03068,0.03280758448895621,,,,,c6ring
20,3,no1NN no3Al in 6ring,titrate,,0.3728688524590164,0.010164925916737944,,,,,c6ring
21,5,no1NN no3Al in 6ring,titrate,,0.24784049079754603,0.020256174860289945,,,,,c6ring
22,7,no1NN no3Al in 6ring,titrate,,0.18247967479674798,0.02398439436891079,,,,,c6ring
23,10,no1NN no3Al in 6ring,titrate,,0.13119101123595506,0.028560162260125668,,,,,c6ring
24,15,no1NN no3Al in 6ring,titrate,,0.08795161290322581,0.02977452119485609,,,,,c6ring
25,20,no1NN no3Al in 6ring,titrate,,0.06725531914893618,0.03231717389228031,,,,,c6ring
26,25,no1NN no3Al in 6ring,titrate,,0.05439473684210527,0.032598784454676184,,,,,c6ring
27,30,no1NN no3Al in 6ring,titrate,,0.04609375,0.034138032653295944,,,,,c6ring
28,35,no1NN no3Al in 6ring,titrate,,0.03739285714285714,0.03290351928947195,,,,,c6ring
29,40,no1NN no3Al in 6ring,titrate,,0.03064,0.032624996551723955,,,,,c6ring
30,4.3,no1NN,titrate,exclude 3Al in 6ring,0.25221857923497265,0.021624204009637774,0.054781420765027324,0.016110838245142662,0.043453551912568306,0.014314119773974917,c6ring >  c4NN_8ring > c3NN_8ring
31,4.3,no1NN,count,exclude 3Al in 6ring,0.25221857923497265,0.021624204009637774,0.34931147540983604,0.042353154805731624,0.19426775956284154,0.028231540643881205,
32,4.5,no1NN,titrate,exclude 3Al in 6ring,0.24511299435028247,0.02205183609984107,0.05775141242937853,0.016495545929922716,0.044259887005649715,0.015518164570747468,c6ring >  c4NN_8ring > c3NN_8ring
33,4.5,no1NN,count,exclude 3Al in 6ring,0.24511299435028247,0.02205183609984107,0.3441129943502825,0.04210974264329308,0.18554237288135594,0.02870018628247878,
